Symbol,Price_Increase_Percentage
MULN,1967038748.49
SEELQ,21919900.00
ACON,20882321.50
IONM,13660000.00
EGIOQ,12639900.00
SMFL,8089900.00
NEXI,7049800.00
AWIN,6899900.00
CRKN,5757037.57
RGFC,4499900.00
MMATQ,4409900.00
CONNQ,3709900.00
CLVR,3549900.00
MONDQ,3169900.00
BIMI,2429900.00
NUVOQ,2329900.00
TUPBQ,2059900.00
MTEMQ,1809900.00
ADTX,1801224.50
DZSIQ,1758800.00
EFTR,1729900.00
NHIQ,1699900.00
RAASY,1599900.00
XELA,1579900.00
NVOS,1419900.00
TBLT,1399900.00
DLAPQ,1314900.00
SHPWQ,1309900.00
SBNY,1286566.67
NTBLQ,1239900.00
HPCO,1199900.00
ZPTA,1199900.00
IDEXQ,1079900.00
SPEC,1069900.00
ZLSSF,1014445.45
ETAOF,949900.00
LSDIF,929900.00
ALPP,926600.00
THMO,874900.00
STBXF,866761.85
CTHR,787400.00
CZOOF,749900.00
BETSF,624900.00
GROM,609700.00
WHLR,583994.19
SPIEF,583233.33
JEWL,549900.00
NYMXF,549900.00
UPHL,549900.00
AAGR,540000.00
VEVMQ,519900.00
VAXX,499900.00
SHWZ,499700.00
HEPA,494344.44
CSSEQ,489900.00
AUVIQ,479900.00
WTER,479900.00
CLEU,461538.49
AMPE,449900.00
GNLN,427350.98
PXMD,389900.00
CAUD,379900.00
NCNCF,374700.00
DMTKQ,354900.00
LGMK,342757.14
DGLY,331506.22
DMNIF,324616.67
EMWPF,289900.00
EBET,280400.00
VIAOY,279900.00
NMHI,278643.31
SCPX,268338.54
DXF,268011.11
GPAK,259900.00
EGRX,254700.00
ARVLF,249800.00
ELIQQ,247200.00
TCBPY,243900.00
YTENQ,232900.00
SRAX,224900.00
AFIB,219900.00
PLRZ,218081.82
AKTSQ,214900.00
FUVV,199900.00
ZVOI,199900.00
PITEF,196869.70
PTPI,187995.24
MOTS,187900.00
COMS,184900.00
AIEV,179900.00
PRST,174200.00
STIXF,169900.00
ISUNQ,167300.00
SUNE,164494.59
BRSHF,163200.00
ELMSQ,159900.00
RIBT,159900.00
ZEVY,159900.00
ELYS,159700.00
DBGI,158401.44
TRNR,154515.25
STSS,153919.75
DCFCQ,145733.33
CDT,144822.35
HLTHQ,143900.00
TSPH,139900.00
CETX,136468.82
CUEN,134900.00
LUXH,129501.11
BBIG,124900.00
ASPU,124850.00
CALA,119900.00
FRCB,119900.00
NEPTF,119900.00
RBTC,119900.00
SLNAF,118200.00
FMTO,114017.65
KWE,112106.45
AILEQ,110900.00
UPC,103166.41
WINT,100513.92
AEYGQ,99900.00
MFLTY,99900.00
TIOG,99900.00
FRBKQ,98900.00
VRPX,94066.67
XHG,92923.26
SRNE,92400.00
BIGGQ,91119.51
SVUHF,89743.75
GGAAF,83233.33
WTO,82900.00
CNSP,80262.93
ARDS,79900.00
ACAN,78800.00
VINOQ,74652.48
GOEVQ,74174.41
AEON,71707.41
BMMJ,71000.00
TBIO,70856.52
ZAPPF,70009.89
KLDO,69900.00
EVLO,59900.00
NAVB,59900.00
NMRD,59900.00
ALCE,57300.00
HALL,56700.00
MCLDF,54800.00
ENGCQ,53233.33
ZCAR,53100.00
XTIA,52764.58
CYN,51858.73
BHILQ,51612.33
PIKM,50264.96
BIOCQ,49900.00
BZAMF,49900.00
VINC,49780.10
AFMDQ,49622.22
GCTK,49543.14
ELAB,46113.38
SYRS,46100.00
MLGO,45809.91
ATCH,45797.43
DMKPQ,44900.00
MVLA,44900.00
SYTA,44415.77
PROCF,37276.24
GGEI,36900.00
RGRX,36550.00
SMX,36362.81
APDN,35222.29
LYTHF,34990.91
OCEA,34616.98
HCTI,34445.45
SOBR,33675.60
AXDXQ,33609.68
NCNA,33100.00
ADD,32929.82
BTTX,32500.00
VCIG,32282.87
APTOF,32102.20
IVP,31765.08
XPON,31566.67
NIVF,30698.12
CMRA,30600.00
SISI,30120.16
CFRXQ,29900.00
HOLO,29695.16
MGAM,29566.67
ZDAI,28916.22
RTCJF,28739.29
VLCN,28665.19
GRFXY,28568.32
SMR,28246.15
QVCGB,27870.15
ONCO,27788.45
FFNTF,27400.00
RNAZ,26949.42
TMPOQ,26400.00
OMGAQ,26150.00
VMAR,25342.21
GDHG,25226.80
OILCF,24775.62
DNMRQ,24484.62
HAO,24135.91
XXII,23960.26
UBXG,23927.12
PBM,23830.55
ROII,23400.00
RIME,22940.94
EGOXF,22900.00
CERO,21961.94
SUNWQ,21900.00
CGBS,21834.37
BJDX,21606.85
AREB,20968.20
EJH,20594.26
ALEAF,19900.00
GMVDF,19900.00
NDRA,19814.09
LICN,18669.23
RGC,18381.85
CMCT,18141.94
NKLAQ,17766.89
BSLK,17005.53
TGL,16963.49
PAPLF,15900.00
APVO,15216.30
ATTOF,14900.00
AZREF,14900.00
HTGMQ,14900.00
VIVE,14900.00
EYEN,14582.35
LKCOF,14309.01
AEHL,14144.44
SVRE,14096.29
VSTTF,13902.57
BACK,13860.00
DTCB,13285.42
TNMG,13212.50
JBIO,13091.70
NWTG,13077.91
AWHL,12735.82
TTOO,12042.86
BXRXQ,12000.00
AGILQ,11900.00
UTRS,11900.00
SEVCF,11550.67
FTEL,11411.63
YELLQ,11185.71
RYDE,11145.00
VIRX,11067.50
TRVN,10755.26
TWG,10700.00
LICYQ,10657.14
KNW,10445.45
DFDV,10085.26
GTI,9991.74
AGMH,9945.87
HMR,9940.00
NBRVF,9900.00
RENO,9900.00
SCPS,9900.00
BIORQ,9875.00
ULY,9724.83
ICON,9525.00
MKDW,9311.76
BSFC,9199.75
MAXN,9097.19
RSLS,9000.86
CNTM,8939.74
SSUNF,8900.00
CTOR,8799.38
LPA,8798.31
JYD,8788.89
BHAT,8684.68
CHSN,8626.15
FTCHQ,8500.00
ICCT,8479.76
ABP,8475.20
NOVA,8402.29
ASAPQ,8400.00
DRUG,8392.21
NVNI,8347.68
SGN,8330.19
SNYR,8303.36
TNXP,8155.62
PNST,8125.00
JBDI,7929.75
BURU,7927.07
WCT,7913.70
YHC,7677.28
CYCU,7619.89
FRGT,7592.31
QUBT,7550.04
GRI,7333.58
WNW,7269.20
ASBP,7248.84
JTAI,7139.86
BLMZ,7066.67
KLTO,7045.37
SSII,6906.25
SDST,6820.26
ORIS,6730.49
NXUR,6704.88
KRBPQ,6477.38
VLDX,6406.42
ATHXQ,6400.00
BON,6369.30
WLGS,6340.00
MBIO,6335.64
WKHS,6302.93
GWAV,6149.67
SYRA,6011.11
LEVGQ,5997.56
NUKK,5924.62
USCTF,5860.00
CANB,5819.35
WBUY,5741.29
FAAS,5733.85
YYAI,5315.60
NAKA,5249.23
RHEP,5130.77
LTCH,5085.19
AZTR,5061.29
VTAK,4997.09
BIOLQ,4925.00
TTCFQ,4900.00
UFABQ,4900.00
WEJOF,4900.00
ATGL,4884.35
MEHCQ,4841.96
UAVS,4837.85
ACOG,4782.14
FXLV,4775.00
BTOG,4739.53
MMVVF,4693.39
SOWG,4656.70
LGCB,4577.38
LILMF,4563.87
KXIN,4546.65
WLDS,4452.30
AIFU,4366.67
ALZN,4343.94
IXHL,4337.50
NUTX,4329.81
MINM,4259.67
SFHG,4258.88
DGNX,4205.56
ALUR,4027.91
STI,4015.65
QMCO,3982.88
BLMH,3966.67
CTXR,3938.46
BDRX,3929.13
RMSG,3920.36
ASST,3905.97
SDCCQ,3900.00
VCNX,3890.48
DDC,3804.32
QTTB,3797.83
NAAS,3770.37
JUNS,3725.49
LAES,3693.10
BPTH,3691.67
MODV,3688.53
FFAI,3678.10
WOLF,3663.41
SAVA,3569.57
BNAI,3555.68
LRHC,3552.17
CYCC,3527.65
CYTOF,3512.77
APLT,3501.25
USDP,3464.10
GSIW,3413.28
XAGE,3371.65
SCNX,3344.93
BSGM,3301.19
ORGS,3287.33
LFLY,3258.78
BLNE,3248.31
ALLR,3229.94
VSEE,3208.00
GLXG,3178.47
ENSV,3174.77
LXEH,3173.20
RGTI,3145.45
XCH,3141.14
JAGX,3140.05
IMG,3100.00
REVB,3100.00
MNPR,3058.81
AGFY,3015.87
PTNT,3004.96
AMIX,2978.95
EDBL,2963.33
DHAI,2958.33
ATXI,2955.05
JDZG,2883.51
XTKG,2843.40
HCWC,2831.03
FOXO,2788.89
SHPH,2772.20
CVM,2770.47
BENF,2765.63
GORV,2762.57
MVST,2751.49
NMRA,2713.42
ABVE,2698.88
TOI,2693.30
ALXO,2672.16
KZIA,2662.24
KULR,2645.00
CLIK,2643.75
LPTV,2638.85
QXO,2633.27
NXTT,2626.03
DFLI,2607.36
ATNF,2598.39
DSHK,2573.27
SOAR,2554.56
TANH,2548.09
PCLA,2540.09
QBTS,2533.58
SXTP,2452.77
XCUR,2400.00
PAIYY,2400.00
CMLS,2382.55
BTAI,2370.40
MRM,2365.47
APCX,2358.75
VRCA,2352.83
IGMS,2345.65
SLNH,2341.73
NAOV,2336.65
QMMM,2307.41
PRPH,2295.59
PET,2286.67
TDTH,2270.00
SBET,2269.24
AAMCF,2264.00
WOK,2238.78
GRYP,2234.66
DUO,2230.34
CTM,2227.30
NEHC,2218.87
PEVM,2216.67
KUKE,2215.64
FLYE,2214.70
NXTP,2200.00
BNGO,2183.54
LNKS,2182.22
JFBR,2171.98
SPHL,2160.21
ELPW,2149.20
LNZA,2148.39
AYRWF,2141.38
SCLX,2136.14
