Date,Symbol,BanDurationInMonths
2024-11-08,DNLI,3
2024-11-08,NXL,3
2024-11-08,IVW,3
2024-11-08,EWTX,3
2024-11-08,APP,3
2024-11-08,ADMA,3
2024-11-08,PRAX,3
2024-11-19,SEZL,3
2024-11-19,DAVE,3
2025-01-01,AAPL,2
2025-01-01,MSFT,3
2025-01-08,WGS,3
2025-01-08,RGTI,3
2025-01-08,RCAT,3
2025-01-08,JFBR,3
2025-01-09,ATGL,3
2025-01-09,GMM,6
2025-01-09,AENT,3
2025-01-09,EOSE,3
2025-01-09,LUNR,3
2025-01-09,NEOV,3
2025-01-09,AZ,3
2025-01-09,RKLB,3
2025-01-09,TKNO,1
2025-01-09,KINS,1
2025-01-09,SATX,3
2025-01-09,FOA,3
2025-01-09,MFH,3
2025-01-09,CLOV,1
2025-01-09,ZVIA,3
2025-01-09,REAL,3
2025-01-09,MOB,3
2025-01-09,VUZI,3
2025-01-09,RDW,1
2025-01-09,RZLT,3
2025-01-09,SRRK,3
2025-01-09,BFLY,3
2025-01-09,PSNL,3
2025-01-09,KC,3
2025-01-09,OKLO,3
2025-01-09,SUPV,3
2025-01-09,BYRN,3
2025-01-09,GDS,1
2025-01-09,CNVS,3
2025-01-09,MESO,3
2025-01-09,TMQ,3
2025-01-09,CMMB,3
2025-01-09,PULM,3
2025-01-09,BBAR,3
2025-01-09,BMA,3
2025-01-09,KOD,3
2025-01-09,PLTR,3
2025-01-09,OMER,3
2025-01-09,ARQT,3
2025-01-09,GGAL,3
2025-01-09,QURE,3
2025-01-09,NCTY,3
2025-01-09,ALLT,3
2025-01-09,HSAI,3
2025-01-09,ETON,3
2025-01-09,PPTA,3
2025-01-09,TURB,3
2025-01-09,QNCX,3
2025-01-09,CRMD,3
2025-01-09,APLD,3
2025-01-09,CRDO,1
2025-01-09,AUR,3
2025-01-09,LFVN,1
2025-01-09,JVA,3
2025-01-09,VRNA,3
2025-01-09,TSL,3
2025-01-09,VST,6
2025-01-09,AVXL,3
2025-01-09,ACHR,3
2025-01-09,LX,3
2025-01-09,LPTH,3
2025-01-09,HOOD,3
2025-01-09,RSI,3
2025-01-09,TVTX,3
2025-01-09,FTK,3
2025-01-09,FTAI,3
2025-01-09,CLS,3
2025-01-09,OPFI,3
2025-01-09,VIOT,3
2025-01-09,SMTC,3
2025-01-09,EAT,3
2025-01-09,PRTH,3
2025-01-09,VNET,3
2025-01-09,AGX,3
2025-01-09,UNFI,1
2025-01-09,JWEL,3
2025-01-09,KLTR,3
2025-01-09,SITM,1
2025-01-09,TLN,3
2025-01-09,DCTH,3
2025-01-09,TSLA,6
2025-01-09,FOSL,3
2025-01-09,ECOR,3
2025-01-09,SE,3
2025-01-09,PLSE,6
2025-01-09,BE,6
2025-01-20,EOSEW,3
2025-01-20,DFEN,3
2025-01-20,MNPR,3
2025-01-20,UAMY,3
2025-01-20,WLGS,1
2025-01-20,MSTR,3
2025-01-20,DBVT,3
2025-01-20,IONQ,3
2025-01-20,TSLR,1
2025-01-20,COMM,1
2025-01-20,JYD,3
2025-01-20,CURI,3
2025-01-21,ROOT,3
2025-01-21,RAIL,3
2025-01-21,RKDA,1
2025-01-21,DOYU,3
2025-01-21,HUT,3
2025-01-21,BTDR,1
2025-01-21,SNAL,1
2025-01-21,BITX,6
2025-01-21,IREN,3
2025-01-21,SLQT,3
2025-01-21,HIMS,3
2025-01-21,API,1
2025-01-21,SWIM,3
2025-01-21,MYTE,3
2025-01-21,IESC,3
2025-01-21,SMLR,1
2025-01-21,PLBY,1
2025-01-21,TPL,1
2025-01-21,PRM,3
2025-01-21,CRS,3
2025-01-21,BMTX,3
2025-01-21,CLPT,3
2025-01-21,AXGN,1
2025-01-21,SFIX,3
2025-01-21,NGVC,3
2025-01-21,CIA,3
2025-01-21,YPF,1
2025-01-22,MVST,3
2025-01-22,UMAC,3
2025-01-22,SMR,3
2025-01-22,USEG,1
2025-01-22,PSTX,6
2025-01-22,POWL,3
2025-01-22,MSTY,6
2025-01-22,TPC,3
2025-01-22,RIGL,3
2025-01-22,FSI,1
2025-01-22,ARIS,3
2025-01-27,BQ,3
2025-01-27,EBS,3
2025-01-27,CORZ,1
2025-01-27,BKKT,1
2025-02-04,MYNZ,6
2025-02-04,TECX,3
2025-02-05,TARA,3
