Date,Rolling_4Day_Percentage_32Week_Lows
2024-07-31,
2024-08-01,
2024-08-02,
2024-08-05,3.571428571428571
2024-08-06,3.9285714285714284
2024-08-07,4.285714285714286
2024-08-08,3.7499999999999996
2024-08-09,2.4107142857142856
2024-08-12,2.4107142857142856
2024-08-13,1.9642857142857142
2024-08-14,1.8737290289781392
2024-08-15,1.4266649720386375
2024-08-16,0.9796009150991356
2024-08-19,1.0676156583629892
2024-08-20,0.800711743772242
2024-08-21,0.7117437722419928
2024-08-22,0.7117437722419928
2024-08-23,0.5331768506600035
2024-08-26,0.6215138436687615
2024-08-27,0.798503318947023
2024-08-28,1.1524822695035462
2024-08-29,1.2411347517730498
2024-08-30,1.2411347517730495
2024-09-03,1.4184397163120568
2024-09-04,1.3297872340425534
2024-09-05,1.5070921985815604
2024-09-06,2.216312056737589
2024-09-09,2.659574468085107
2024-09-10,3.191489361702128
2024-09-11,3.280141843971631
2024-09-12,2.6586346891211186
2024-09-13,1.8601380354401678
2024-09-16,0.9729888994897132
2024-09-17,0.7931866819290301
2024-09-18,0.8802816901408452
2024-09-19,1.1431307141092169
2024-09-20,1.4936990363232026
2024-09-23,1.4047442550037066
2024-09-24,1.4035087719298245
2024-09-25,1.3157894736842104
2024-09-26,1.2280701754385963
2024-09-27,1.3157894736842106
2024-09-30,1.2280701754385965
2024-10-01,1.2280701754385963
2024-10-02,1.5764936817568396
2024-10-03,1.8375046006624953
2024-10-04,2.0114096429885904
2024-10-07,2.4500061342166606
2024-10-08,2.5401791191264875
2024-10-09,2.89320328794013
2024-10-10,3.5964912280701755
2024-10-11,3.245614035087719
2024-10-14,2.807017543859649
2024-10-15,2.017543859649123
2024-10-16,1.0520181572813152
2024-10-17,1.1382039013617962
2024-10-18,1.2228667780657512
2024-10-21,1.482968251260934
2024-10-22,1.9178991739967348
2024-10-23,2.264808362369338
2024-10-24,2.4369071815718155
2024-10-25,2.4353948896631827
2024-10-28,2.172861014324429
2024-10-29,1.8214148404459825
2024-10-30,1.7310173308674384
2024-10-31,2.0728516220551776
2024-11-01,2.070456986039852
2024-11-04,2.413793103448276
2024-11-05,2.3275862068965516
2024-11-06,1.896551724137931
2024-11-07,1.9827586206896552
2024-11-08,1.896551724137931
2024-11-11,1.8091598530631594
2024-11-12,2.065706837302998
2024-11-13,2.0642256191491883
2024-11-14,2.2336769759450172
2024-11-15,3.2646048109965635
2024-11-18,3.6941580756013743
2024-11-19,4.4673539518900345
2024-11-20,4.461489743499525
2024-11-21,4.025485849665154
2024-11-22,3.762476103350809
2024-11-25,2.8156996587030716
2024-11-26,2.645051194539249
2024-11-27,2.0477815699658706
2024-11-29,1.3651877133105803
2024-12-02,1.4505119453924915
2024-12-03,1.533224211186181
2024-12-04,1.8721993917020732
2024-12-05,2.382113254858257
2024-12-06,2.2108843537414966
2024-12-09,1.6156462585034013
2024-12-10,1.3605442176870748
2024-12-11,1.3585264614320303
2024-12-12,1.781678773204197
2024-12-13,2.6285598985356855
2024-12-16,3.305084745762712
2024-12-17,3.644067796610169
2024-12-18,4.322033898305085
2024-12-19,4.491525423728813
2024-12-20,4.491525423728814
2024-12-23,4.152542372881356
2024-12-24,3.1355932203389827
2024-12-26,2.11864406779661
2024-12-27,1.2703275309207513
2024-12-30,1.2683234081539165
2024-12-31,1.6053023362345398
2025-01-02,1.6053023362345398
2025-01-03,1.6061612459917542
2025-01-06,1.2691823179111315
2025-01-07,0.9322033898305084
2025-01-08,1.3559322033898304
2025-01-10,2.4576271186440675
2025-01-13,4.322033898305084
2025-01-14,5.084745762711864
2025-01-15,4.830508474576271
2025-01-16,3.7288135593220337
2025-01-17,1.8644067796610169
2025-01-21,1.1016949152542372
2025-01-22,1.0169491525423728
2025-01-23,1.0169491525423728
2025-01-24,0.847457627118644
2025-01-27,1.0169491525423728
2025-01-28,1.1864406779661016
2025-01-29,1.271186440677966
2025-01-30,1.694915254237288
2025-01-31,1.5254237288135593
2025-02-03,1.8644067796610169
2025-02-04,2.1186440677966103
2025-02-05,1.9491525423728815
2025-02-06,2.120085322264499
2025-02-07,1.9526115530958146
2025-02-10,2.0396633229563013
2025-02-11,2.97186671278681
2025-02-12,3.5636457973019717
2025-02-13,3.476882278335063
2025-02-14,3.0508474576271185
2025-02-18,2.0338983050847457
2025-02-19,1.3559322033898304
2025-02-20,1.271186440677966
2025-02-21,1.777084287677508
2025-02-24,2.28298213467705
2025-02-25,2.957512597343106
2025-02-26,3.2094594594594597
2025-02-27,3.4628378378378377
2025-02-28,4.217854217854218
2025-03-03,4.803667303667304
2025-03-04,6.653244153244153
2025-03-05,5.892255892255892
2025-03-06,5.05050505050505
2025-03-07,4.124579124579125
2025-03-10,2.892430047602461
